"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"Evans Halshaw Vauxhall York","4.4","740","Centurion Way, Clifton Moor Gate","York",,"GB","https://www.evanshalshaw.com/dealers/vauxhall-york/?utm_source=google&utm_medium=organic&utm_content=vauxhall-york&utm_campaign=gplaces","+44 1904 696339","Vauxhall dealer","Auto parts manufacturer","Auto parts store","Auto repair shop","Car dealer","Car inspection station","Car rental agency","Truck dealer","Used car dealer","Used truck dealer",,"https://www.google.com/maps/search/?api=1&query=Evans%20Halshaw%20Vauxhall%20York&query_place_id=ChIJ9T8HKn8xeUgRY8aW0u2JsEc","Vauxhall dealer"
"Wilson Bio-Chemical Limited",,,"Unit 22 Hassacarr Ln","York",,"GB",,"+44 1246 264950","Chemical plant",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wilson%20Bio-Chemical%20Limited&query_place_id=ChIJieCUnPkueUgRujAPKgVaqGY","Chemical plant"
"Booker York","4.4","100","Industrial Estate, Audax Rd","York",,"GB","https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext","+44 1904 691800","Wholesaler","Beer distributor","Butcher shop","Meat products store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Booker%20York&query_place_id=ChIJf4Fm2X0xeUgRXMNMqPL16l4","Wholesaler"
"Hallfield Road Motors","4","32",,"York",,"GB","https://www.hallfieldroadmotors.com/","+44 1904 427575","Used car dealer","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hallfield%20Road%20Motors&query_place_id=ChIJV7cGHroxeUgRj0yX6-ShfAI","Used car dealer"
"VAN HUT LTD","5","57","Mars Technology Centre, The, Stamford Bridge Rd","York",,"GB","https://www.vanhutyork.com/","+44 7834 702914","Motor vehicle dealer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=VAN%20HUT%20LTD&query_place_id=ChIJq6qqk14ueUgRosOAN7gsGHc","Motor vehicle dealer"
"York Ironworks","5","1","Unit 13, The Gardens, Malton Road Developments Ltd","York",,"GB",,"+44 7713 100105","Metal fabricator","Iron works","Railing contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=York%20Ironworks&query_place_id=ChIJ1TCzsXoteUgR1PwnB_8U2dE","Metal fabricator"
"Alderson Motors LTD","4.6","125","The Village","York",,"GB","https://www.aldersonmotors.co.uk/","+44 1904 400536","Auto repair shop","Motor vehicle dealer","Used car dealer",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Alderson%20Motors%20LTD&query_place_id=ChIJV4gnW9cteUgRG0MfJlW76rk","Auto repair shop"
"York Powder Coating","4.6","19","Unit 11B, Elvington Industrial Estate","York",,"GB","http://www.yorkpowdercoating.co.uk/","+44 1904 488077","Powder coating service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=York%20Powder%20Coating&query_place_id=ChIJx902jEgueUgR7Vq2ojBFsEg","Powder coating service"
"SG Petch York","4.8","1192","Monks Cross, Jockey Ln, Monks Cross Dr","York",,"GB","https://www.sgpetch.co.uk/york","+44 1904 466600","Car dealer","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SG%20Petch%20York&query_place_id=ChIJbRvGnPAxeUgRZy_e8P5-KUU","Car dealer"
"AgriFood X Limited",,,"1 Hassacarr Ln","York",,"GB","http://www.agrifoodx.com/","+44 1904 894005","Research and product development","Biochemistry lab","Biotechnology company",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AgriFood%20X%20Limited&query_place_id=ChIJLZe73uEveUgRLy5VWyjXeSY","Research and product development"
"Trade Centre York","4.6","5","Ideal Marble & Granite, Mars Technology Centre","York",,"GB","https://www.tradecentreyork.co.uk/","+44 7966 692623","Car dealer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Trade%20Centre%20York&query_place_id=ChIJL0IGeVwueUgRI0Zp3iARXLY","Car dealer"
"Prestige Car Supermarket","4.3","1304","A19","York",,"GB","http://www.prestigecarsupermarket.co.uk/","+44 1904 644440","Used car dealer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Prestige%20Car%20Supermarket&query_place_id=ChIJO7q4YdU5eUgRBb8dg60zlP0","Used car dealer"
"Bickerton Car Sales","4.5","29","Elvington Industrial Estate, York Road","York",,"GB","https://www.bickertoncars.co.uk/","+44 1904 608613","Auto broker",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bickerton%20Car%20Sales&query_place_id=ChIJ_btPXUAveUgRv2QC_iWj89I","Auto broker"
"ST-RS Automotive Ltd","5","94","Moor Farm Buildings","York",,"GB","http://strsautomotive.com/","+44 1904 530641","Motor vehicle dealer","Car dealer","Used car dealer",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ST-RS%20Automotive%20Ltd&query_place_id=ChIJQ_DuyrfFKykR0atNkJxecsw","Motor vehicle dealer"
"Yortracked - Mobile auto-electric services","4.9","47","Car & Commercial, Hull Rd","York",,"GB","http://www.yortracked.co.uk/","+44 1904 900171","Auto electrical service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yortracked%20-%20Mobile%20auto-electric%20services&query_place_id=ChIJnWg8jjoxeUgRvar6JWkKrJk","Auto electrical service"
"Stoneacre York","4.3","629","Monks Cross, Jockey Ln","York",,"GB","https://www.stoneacre.co.uk/dealership/stoneacre-york?utm_source=local&utm_medium=organic&utm_campaign=google","+44 1904 625371","Car dealer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Stoneacre%20York&query_place_id=ChIJu9EvfPoxeUgRHDLpfrCZNXY","Car dealer"
"Motoplex Ltd","4.9","151","Bumper Castle, Wigginton Rd","York",,"GB","http://www.motoplex.co.uk/","+44 7754 306970","Used car dealer","Car dealer",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Motoplex%20Ltd&query_place_id=ChIJPRnDN7MxeUgRPL-dGWMIkoI","Used car dealer"
"Cash4Cars York",,,"Office 2, Kilnfield House, 45 Common Rd","York",,"GB","https://www.cash4carsyork.co.uk/","+44 1904 922959","Used car dealer","Car dealer",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cash4Cars%20York&query_place_id=ChIJ7fuIQ_0veUgREOXc47jj6Sk","Used car dealer"
"Copycars","4.8","136","Unit 5, MX Park, Monks Cross Dr","York",,"GB","http://www.copycars.co.uk/","+44 1904 935193","Used car dealer","Auto air conditioning service","Car dealer","Car finance and loan company","Finance broker",,,,,,,"https://www.google.com/maps/search/?api=1&query=Copycars&query_place_id=ChIJn0mpvlM3eUgRjbJDamNAPME","Used car dealer"
"Cosmetics Cluster UK",,,"The Biorenewables Development Centre, BDC, 1 Hassacarr Cl","York",,"GB","http://cosmeticsclusteruk.com/","","Cosmetics industry",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cosmetics%20Cluster%20UK&query_place_id=ChIJr_4BXYqaeEgR3TJp40sJJxk","Cosmetics industry"
"YESSS Electrical York","4.9","7","Unit 5 Seafire Cl","York",,"GB","https://www.yesss.co.uk/store/york","+44 1904 236501","Electrical products wholesaler","Electrical equipment supplier","Fire alarm supplier","Lighting store","Solar energy equipment supplier",,,,,,,"https://www.google.com/maps/search/?api=1&query=YESSS%20Electrical%20York&query_place_id=ChIJNV4WRn4xeUgRuyHhTDfqOPE","Electrical products wholesaler"
"21 Degrees York | Formerly Green Building Renewables","4.7","32","Unit 9 Chessingham Park","York",,"GB","https://www.21degrees.com/locations/york/","+44 1904 946609","Solar energy company","Door manufacturer","Door supplier","Energy equipment and solutions","Environment renewable natural resources","Heating equipment supplier","Solar energy system service","Solar energy equipment supplier","Window supplier",,,"https://www.google.com/maps/search/?api=1&query=21%20Degrees%20York%20%7C%20Formerly%20Green%20Building%20Renewables&query_place_id=ChIJATXYAqIreUgRf_sC3nE7p98","Solar energy company"
"Station Garage Haxby","4.6","73","Station Garage, Station Rd","York",,"GB","https://www.sgpetch.co.uk/haxby","+44 1904 750070","Auto body shop","Car inspection station","Convenience store","Gas station","Tire shop","Wheel alignment service",,,,,,"https://www.google.com/maps/search/?api=1&query=Station%20Garage%20Haxby&query_place_id=ChIJEW9xRdlOf0gRrhNPCIRKak4","Auto body shop"
"York Car and Commercial Ltd","4.9","27","Hull Rd","York",,"GB","https://www.yorkcarandcommercial.co.uk/?utm_source=business.google.com&utm_medium=organic&utm_campaign=gmb","+44 1904 488252","Used car dealer","Car finance and loan company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=York%20Car%20and%20Commercial%20Ltd&query_place_id=ChIJA95fXTEueUgRaJr3wHq4ibk","Used car dealer"
"Yorvik Cars Ltd","4.8","47","Elvington Industrial Estate, Unit 6 Handley Park","York",,"GB","http://www.yorvikcars.com/","+44 1904 608365","Used car dealer","Car dealer","Motorcycle dealer",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yorvik%20Cars%20Ltd&query_place_id=ChIJ-wrBfkAveUgRYH60jlz93Ig","Used car dealer"
"Vertu Motors Accident Repair Centre York","4.7","24","Clifton Moor Gate","York",,"GB","https://www.vertumotors.com/find-a-dealer/bmw-york-bodyshop/","+44 1904 926282","Vehicle inspection service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vertu%20Motors%20Accident%20Repair%20Centre%20York&query_place_id=ChIJtyhMTboxeUgRQKegvTE8klU","Vehicle inspection service"
"Ceejay UK LTD","4.9","9","Unit 4, Green Lane Trading Estate, 4 Unit 4","York",,"GB","http://www.ceejays.com/","+44 1904 693936","Commercial printer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ceejay%20UK%20LTD&query_place_id=ChIJ6TvEgnoxeUgRNzIZ9f8FK5g","Commercial printer"
"Design and Print Solutions","4","3","University of York, Market Square, 6","York",,"GB","http://www.york.ac.uk/design-print-solutions","+44 1904 322160","Commercial printer","Digital printer","Graphic designer","Print shop","Website designer",,,,,,,"https://www.google.com/maps/search/?api=1&query=Design%20and%20Print%20Solutions&query_place_id=ChIJ__-vQzMweUgRPXRk6UieFFA","Commercial printer"
"Club Class Cars York","4.9","609","Kilnfield House, 45 Common Rd","York",,"GB","http://www.clubclasscarsyork.com/","+44 1904 922409","Used car dealer","Audi dealer","Auto repair shop","BMW dealer","Car dealer","Car repair and maintenance service","Mechanic","Mercedes-Benz dealer","Motor vehicle dealer",,,"https://www.google.com/maps/search/?api=1&query=Club%20Class%20Cars%20York&query_place_id=ChIJW5-nEdgveUgRst-9Gv3pg8s","Used car dealer"
"Monks Cross Used Cars","4.9","314","8 Julia Ave","York",,"GB","http://www.monkscrossusedcars.co.uk/","+44 1904 848435","Used car dealer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Monks%20Cross%20Used%20Cars&query_place_id=ChIJx_RE__oxeUgRVdrk9JIK4jo","Used car dealer"
"Nu York Printing","4.9","30","11 Julia Ave","York",,"GB","http://www.nuyorkprinting.co.uk/","+44 7793 961334","Print shop","Commercial printer","Custom t-shirt store","Screen printer","Screen printing shop","T-shirt store",,,,,,"https://www.google.com/maps/search/?api=1&query=Nu%20York%20Printing&query_place_id=ChIJx_RE__oxeUgR9vNIyTr_sU8","Print shop"
"York Digital Image","4.3","143","8 Bridge St","York",,"GB","http://www.yorkdigitalimage.co.uk/","+44 1904 652666","Print shop","Banner store","Commercial printer","Digital printer","Invitation printing service","Photo lab","Picture frame shop","Poster store","Sign shop",,,"https://www.google.com/maps/search/?api=1&query=York%20Digital%20Image&query_place_id=ChIJY39orKkxeUgRmVE3yxS02JU","Print shop"
"York Print Company | Print & Signage","4.8","77","97 Walmgate","York",,"GB","https://www.yorkprintcompany.co.uk/?UTM_source=GMB_listing&UTM_medium=organic","+44 1904 439700","Digital printer","Banner store","Commercial printer","Custom label printer","Decal supplier","Poster store","Print shop","Sign shop",,,,"https://www.google.com/maps/search/?api=1&query=York%20Print%20Company%20%7C%20Print%20%26%20Signage&query_place_id=ChIJ9wSe6bExeUgRBohOAMAT1yM","Digital printer"
"Jetscreen York Ltd","5","1","11 Julia Ave","York",,"GB","https://jetscreen.org.uk/","+44 1904 644103","Commercial printer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jetscreen%20York%20Ltd&query_place_id=ChIJ0awR9voxeUgRlcyNr5wln9A","Commercial printer"
"Priory Garage Ltd.","4.8","66","24a Priory St","York",,"GB","https://yorkvisitorguide.info/about/garages-in-york/#priory-garage-ltd","+44 1904 671492","Auto repair shop",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Priory%20Garage%20Ltd.&query_place_id=ChIJS_m-RAcxeUgR3IPiH_0BWxA","Auto repair shop"
"Press Green","4.8","8","20 Lord Mayor's Walk","York",,"GB","http://www.pressgreen.com/","+44 1904 632313","Commercial printer","Graphic designer","Marketing agency",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Press%20Green&query_place_id=ChIJG2oLT6QxeUgRgP3OxTHs8oo","Commercial printer"
"Fulprint","4.9","38","7 Apollo St, Heslington Rd","York",,"GB","http://fulprint.com/","+44 1904 647422","Commercial printer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fulprint&query_place_id=ChIJSYp_EbMxeUgRleMUx-L5piw","Commercial printer"
"YORK MEDIA LIMITED","5","1","Airfield Business Park, Brinkworth Rush","York",,"GB","http://www.yorkmedia.co.uk/","+44 7494 977626",,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=YORK%20MEDIA%20LIMITED&query_place_id=ChIJxzHu8XAveUgRnqJKWZfkrRE",
"Dunnington & Grimston Sports Club","4.4","129","Common Rd","York",,"GB","https://www.dunningtonsports.club/","+44 1904 481039","Sports complex",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dunnington%20%26%20Grimston%20Sports%20Club&query_place_id=ChIJr26NZvoueUgRgdr54_w1_dc","Sports complex"
"Inc Dot Design & Print","5","191","Inc Dot House, Seafire Cl","York",,"GB","http://www.inc-dot.com/","+44 1904 477944","Print shop","Commercial printer","Digital printer","Graphic designer","Poster store",,,,,,,"https://www.google.com/maps/search/?api=1&query=Inc%20Dot%20Design%20%26%20Print&query_place_id=ChIJuy9WR34xeUgRaqxY1O43FHU","Print shop"
"Walstead York","5","5","Airfield Business Park, Brinkworth Rush","York",,"GB","http://www.walstead-uk.com/","+44 1904 608050","Commercial printer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Walstead%20York&query_place_id=ChIJsd-v9KkveUgRfiLvMCSVgf8","Commercial printer"
"York Auto Bodyshop","4.6","58","194 Malton Rd","York",,"GB","http://www.yorkautobodyshopuk.com/","+44 1904 424223","Auto body shop","Auto bodywork mechanic","Auto painting","Auto repair shop","Auto restoration service","Car repair and maintenance service","Paint store","RV repair shop",,,,"https://www.google.com/maps/search/?api=1&query=York%20Auto%20Bodyshop&query_place_id=ChIJzVOd0O4xeUgReW96uad6khk","Auto body shop"
"Process Print","4.9","26","Independence House, Millfield Ln","York",,"GB","https://www.process-print.co.uk/","+44 1904 236129","Commercial printer","Digital printer","Invitation printing service","Print shop","Screen printer","Stationery manufacturer",,,,,,"https://www.google.com/maps/search/?api=1&query=Process%20Print&query_place_id=ChIJq6oeQnsxeUgRYdgGyhi5Gzc","Commercial printer"
"Alton Cars Ltd","4.2","183","Airfield Industrial Estate, Halifax Way","York",,"GB","https://www.altoncars.co.uk/","+44 1904 717100","Car repair and maintenance service","Auto body shop","Auto repair shop","Auto restoration service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Alton%20Cars%20Ltd&query_place_id=ChIJe3XTtLYxeUgRFRLp7SwuC2k","Car repair and maintenance service"
"JCT600 Accident Repair Centre York","4.3","200","Centurion Park, Clifton Moor Gate","York",,"GB","https://www.jct600.co.uk/accident-repairs/repair-centres/find-us/jct600-accident-repair-centre-york/1285/dealershipdetails.aspx","+44 114 322 3644","Auto repair shop",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=JCT600%20Accident%20Repair%20Centre%20York&query_place_id=ChIJI7qgUHkxeUgRtmfjyZPiARM","Auto repair shop"
"York MOT Centre","4.8","135","32 Hospital Fields Rd","York",,"GB","http://www.yorkmots.co.uk/","+44 1904 541888","Car inspection station",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=York%20MOT%20Centre&query_place_id=ChIJEY1AwlMweUgRmj6unlo9wDY","Car inspection station"
"York mot services","5","15","Hardwicke Cl","York",,"GB",,"+44 7841 521297","Auto repair shop","Car inspection station",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=York%20mot%20services&query_place_id=ChIJi6IfA7AxeUgRgcut4_H7aJ4","Auto repair shop"
"North East Truck & Van York","3.9","37","Clifton Industrial Estate, Auster Rd","York",,"GB","https://www.northeasttruckandvan.com/?utm_source=google+my+business&utm_medium=organic&utm_campaign=GMB+North+Truck+&+Van+York+Website+Button","+44 1904 479123","Truck dealer","Auto repair shop","Truck accessories store","Truck parts supplier","Truck repair shop","Trucking company","Used auto parts store","Used truck dealer","Vehicle inspection service",,,"https://www.google.com/maps/search/?api=1&query=North%20East%20Truck%20%26%20Van%20York&query_place_id=ChIJP2E-8H4xeUgRp0gMNFkw17w","Truck dealer"
"All Design & Print Ltd","5","8","Unit H, 12 Town End Gardens","York",,"GB","http://alldesignandprint.co.uk/","+44 1904 765334","Commercial printer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=All%20Design%20%26%20Print%20Ltd&query_place_id=ChIJ05Rdl7QzeUgRBUEuVdcXbT0","Commercial printer"
"AutoRefinishers - Eurorepar Car Service","4.6","42","Old Station Yard, Common Rd","York",,"GB","https://www.eurorepar.co.uk/centre-autorefinishers-york-ltd-dunnington-10203.html","+44 1904 481177","Car repair and maintenance service","Auto body shop","Auto bodywork mechanic","Auto dent removal service","Auto painting","Auto repair shop",,,,,,"https://www.google.com/maps/search/?api=1&query=AutoRefinishers%20-%20Eurorepar%20Car%20Service&query_place_id=ChIJx5jd2UcueUgR3d9xpFsbZQQ","Car repair and maintenance service"
"The MOT Man York","5","39","Haxby Moor Rd","York",,"GB",,"+44 7752 372635","Car repair and maintenance service",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20MOT%20Man%20York&query_place_id=ChIJjXQ0cXszeUgRRzeY7ch98RY","Car repair and maintenance service"
"Focus 4 Print","4.6","9","1 James St","York",,"GB","https://www.focus4print.co.uk/","+44 1904 673030","Commercial printer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Focus%204%20Print&query_place_id=ChIJp3n3NbExeUgRwxIJJWYxylw","Commercial printer"
"Dyrdals Garage","4.9","118","34 Hospital Fields Rd","York",,"GB","http://www.dyrdalsgarageyork.co.uk/","+44 1904 633809","Used car dealer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dyrdals%20Garage&query_place_id=ChIJ7Q6P6VMweUgRfUgG1G0j53M","Used car dealer"
"Poppleton MOT Centre","4.9","54","Unit 12 The Rose Centre, Rose Ave","York",,"GB",,"+44 1904 790442","Auto repair shop",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Poppleton%20MOT%20Centre&query_place_id=ChIJV13sTNcxeUgRhYM7q_-mQtE","Auto repair shop"
"Print Love Ltd","5","3","Airfield Business Park, 10 Harrier Ct","York",,"GB","http://printlove.uk/","+44 1904 608158","Commercial printer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Print%20Love%20Ltd&query_place_id=ChIJa3JiYmwveUgRYnkASQwAhqk","Commercial printer"
"Mail Boxes Etc. York","4.6","240","13 Micklegate","York",,"GB","https://www.mbe.co.uk/york?utm_source=GMB&utm_medium=GoogleOrganic&utm_campaign=GMBYork","+44 1904 672623","Courier service","Business center","Commercial printer","Copy shop","Digital printing service","Import export company","Mailbox rental service","Print shop","Shipping and mailing service","Stationery store",,"https://www.google.com/maps/search/?api=1&query=Mail%20Boxes%20Etc.%20York&query_place_id=ChIJAdkxKakxeUgROFs2T3uOBUc","Courier service"
"Quacks Printers","5","2","7 Grape Ln","York",,"GB","http://radiusonline.info/quacks-printer/","+44 1904 635967","Commercial printer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Quacks%20Printers&query_place_id=ChIJM20PEKYxeUgRo8HE9TLH06w","Commercial printer"
"The Garage Tyre & Autocare","4.9","562","112 Layerthorpe","York",,"GB","http://www.thegaragetyreandautocare.co.uk/","+44 1904 624555","Auto repair shop","Auto air conditioning service","Auto spring shop","Brake shop","Car battery store","Car inspection station","Car repair and maintenance service","Diagnostic center","Muffler shop","Tire shop","Wheel alignment service","https://www.google.com/maps/search/?api=1&query=The%20Garage%20Tyre%20%26%20Autocare&query_place_id=ChIJNdZSybsxeUgR_c3EXSIFP1E","Auto repair shop"
"Huntington Service Station","4.9","81","67 N Moor Rd","York",,"GB","http://www.huntingtonservicestation.com/","+44 1904 768808","Car inspection station",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Huntington%20Service%20Station&query_place_id=ChIJR_UftR4yeUgRZsHMA1w31Ok","Car inspection station"
"Rydal Garage York Ltd","4.9","84","York Rd","York",,"GB","http://www.rydalgarage.co.uk/","+44 1904 608806","Car inspection station",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rydal%20Garage%20York%20Ltd&query_place_id=ChIJv2bgSUAveUgRRheXBT8e2M0","Car inspection station"
"KLS at Bryn's Garage","4.8","39","Unit 28, The Raylor Centre, James St","York",,"GB","https://yorkvisitorguide.info/about/garages-in-york/#bryns-garage","+44 1904 430650","Auto repair shop",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KLS%20at%20Bryn's%20Garage&query_place_id=ChIJC1WD-7YxeUgREBYbiBYLjCs","Auto repair shop"
"Motus Commercials York - DAF","4.3","33","Unit F Auster Rd","York",,"GB","https://www.motuscommercials.co.uk/daf/locations/daf-york","+44 1904 692909","Truck dealer","Truck parts supplier","Truck repair shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Motus%20Commercials%20York%20-%20DAF&query_place_id=ChIJP2E-8H4xeUgRbO9k-3SBklY","Truck dealer"
"A64 Van Sales","4.2","16","Assistance House, A64 Malton Rd","York",,"GB","https://a64vansalesltd.co.uk/","+44 1904 421849","Motor vehicle dealer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=A64%20Van%20Sales&query_place_id=ChIJdXR8ahoteUgRmTsGGD3d1Aw","Motor vehicle dealer"
"Stoneacre York Ford Transit Centre","4.7","28","Ford, Jockey Ln","York",,"GB","https://www.stoneacre.co.uk/dealership/transit-centre-york?utm_source=local&utm_medium=organic&utm_campaign=google","+44 1904 625371","Motor vehicle dealer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Stoneacre%20York%20Ford%20Transit%20Centre&query_place_id=ChIJJUYlk_AxeUgR7Ggfy4zFkWU","Motor vehicle dealer"
"Spectrum Signs","5","5","Elvington Industrial Estate, Unit R5, York Rd","York",,"GB","http://www.signsbyspectrum.com/","+44 1904 607000","Signwriting service","Print shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Spectrum%20Signs&query_place_id=ChIJ_btPXUAveUgRHyFfBnzuoF0","Signwriting service"
"Paul Rhodes Commercials York LTD","4.9","47","Sandy Ln","York",,"GB","https://prcommercialsyork.co.uk/","+44 7971 877297","Motor vehicle dealer",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Paul%20Rhodes%20Commercials%20York%20LTD&query_place_id=ChIJQz9VO9IteUgRZS5gB9cqvck","Motor vehicle dealer"
"M4","5","21","Unit 2 The Granary, Cliftongate Business Park Road, Wigginton Road","York",,"GB","http://www.m4uk.com/","+44 1904 690003","Sign shop","Signwriting service","Vinyl sign shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=M4&query_place_id=ChIJ9QgBMdUzeUgR49J3bLX9vXU","Sign shop"
"Max Car Care Valeting & Detailing","4.8","91","Unit 7, Osbaldwick Industrial Estate, Outgang Ln","York",,"GB","http://www.maxcarcare.co.uk/","+44 7906 004105","Car detailing service","Boat detailing service","Vehicle wrapping service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Max%20Car%20Care%20Valeting%20%26%20Detailing&query_place_id=ChIJ08ggb4AyeUgRTNqqmNZmJoQ","Car detailing service"
"Ings View Service Station","4.9","78","Shipton Rd","York",,"GB","http://ings-view-service.jany.io/","+44 1904 624562","Car inspection station",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ings%20View%20Service%20Station&query_place_id=ChIJuZ9OKVkxeUgRU2QnaThzz7c","Car inspection station"
"Spectrum Auto Services","4.9","40","The Raylor Centre, James St","York",,"GB","https://cameronsgtauto.co.uk/services/spectrum-body-shop/","+44 1904 430205","Auto repair shop",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Spectrum%20Auto%20Services&query_place_id=ChIJW3fO77YxeUgRqJewTTKvm48","Auto repair shop"
"Wilco Motosave","4.3","341","Malton Rd","York",,"GB","https://wilcomotosave.co.uk/our-branches/york/","+44 1904 431951","Tire shop","Auto parts store","Auto repair shop","Bicycle repair shop","Bicycle Shop","Car repair and maintenance service",,,,,,"https://www.google.com/maps/search/?api=1&query=Wilco%20Motosave&query_place_id=ChIJxfcvCusxeUgRijZCX2q1i_0","Tire shop"
"Moorcroft Service Station","4.5","126","Moorcroft Service Station/Moorcroft Rd","York",,"GB","https://www.motyork.co.uk/","+44 1904 706673","Auto repair shop",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Moorcroft%20Service%20Station&query_place_id=ChIJmcr3AsUweUgRZ-S8yqLCXRs","Auto repair shop"
"Camerons Gt Auto Ltd","4.5","71","Unit 27, The Raylor Centre, James St","York",,"GB","https://cameronsgtauto.co.uk/","+44 1904 610650","Auto repair shop","Auto air conditioning service","Auto body shop","Mechanic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Camerons%20Gt%20Auto%20Ltd&query_place_id=ChIJVfCCrwYxeUgRk9INNYIiA04","Auto repair shop"
"Signs Express York","5","12","Outgang Ln","York",,"GB","https://www.signsexpress.co.uk/york?utm_source=google&utm_medium=organic&utm_campaign=GBP_York","+44 1904 376802","Sign shop",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Signs%20Express%20York&query_place_id=ChIJTZEYASYueUgR2wjP20OkL4w","Sign shop"
"York Mansion House","4.6","218","St. Helen’s Square","York",,"GB","http://www.mansionhouseyork.com/","+44 1904 553663","Tourist attraction","Historical place museum","Local history museum","Wedding venue",,,,,,,,"https://www.google.com/maps/search/?api=1&query=York%20Mansion%20House&query_place_id=ChIJWcgU1acxeUgRIUDTC9HZjlo","Tourist attraction"
"Club Class Entertainment","4.9","103","Kilnfield House, 45 Common Rd","York",,"GB","https://clubclassuk.com/","+44 333 030 0118","DJ service","Entertainment agency","Event planner","Mobile disco service","Party planner",,,,,,,"https://www.google.com/maps/search/?api=1&query=Club%20Class%20Entertainment&query_place_id=ChIJr4OkeQcxeUgRdGseCo8tReY","DJ service"
"HiQ Tyres & Autocare York","4.6","177","Unit 1 Outgang Ln","York",,"GB","https://www.hiqonline.co.uk/hiq-centres/york?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=googlemybusiness","+44 1904 610101","Tire shop","Auto parts store","Auto repair shop","Brake shop","Car battery store","Car repair and maintenance service","Oil change service","Tire repair shop","Vehicle inspection service","Wheel alignment service",,"https://www.google.com/maps/search/?api=1&query=HiQ%20Tyres%20%26%20Autocare%20York&query_place_id=ChIJtQ1HVboxeUgR8vOGrbx_W9Q","Tire shop"
